index,price,type,sqfeet,beds,baths,lat,long
117,2355,apartment,1628,3,2.5,nan,nan
118,1640,apartment,1042,2,2.0,33.0277,-96.6777
119,659,apartment,600,1,1.0,30.619,-96.3185
120,1129,apartment,1047,2,1.5,29.7229,-98.0742
121,800,apartment,900,2,2.0,26.1923,-98.2657
122,700,apartment,750,2,1.0,29.3466,-98.5074
123,760,apartment,904,2,1.5,32.4563,-99.7638
124,700,apartment,960,2,1.0,31.9386,-106.407
125,235,apartment,300,1,1.0,35.1897,-101.934
126,1350,apartment,984,2,1.5,30.4488,-97.7917
127,1000,manufactured,1216,3,2.0,32.2768,-95.3031
128,675,apartment,650,1,1.0,33.9519,-98.5145
129,1150,apartment,955,2,2.0,30.6582,-96.3351
130,1039,apartment,904,2,1.5,30.2315,-97.7223
131,905,apartment,902,2,1.0,30.0948,-94.1648
132,1132,apartment,908,2,2.0,30.3649,-97.6827
133,992,apartment,396,0,1.0,30.235,-97.7896
134,902,apartment,700,1,1.0,29.573,-95.1064
135,2360,apartment,1047,2,2.0,30.2608,-97.8104
136,860,apartment,566,1,1.0,31.889,-102.355
137,1023,apartment,670,1,1.0,29.5719,-95.0371
138,875,apartment,950,2,2.0,29.3309,-98.5054
139,1863,apartment,1501,3,2.5,30.395,-97.8332
140,925,apartment,775,1,1.0,33.0051,-96.8438
141,1219,apartment,1052,2,2.0,27.5663,-99.4994
142,1425,apartment,1004,2,2.0,29.8634,-98.0037
143,795,apartment,652,1,1.0,27.6758,-97.3475
144,1325,apartment,1037,2,2.0,30.638,-96.294
145,670,apartment,650,2,1.0,31.7089,-106.329
146,1129,apartment,1047,2,1.5,29.7229,-98.0742
147,349,apartment,275,0,1.0,33.5865,-101.861
148,688,apartment,778,2,1.0,31.5789,-106.266
149,1100,house,2000,3,2.0,26.2044,-98.1537
150,875,apartment,847,1,1.0,29.9691,-95.5579
151,615,apartment,522,1,1.0,31.8552,-106.435
152,1015,apartment,1088,2,2.0,31.5175,-97.1547
153,1095,apartment,1370,3,3.0,33.607,-101.928
154,1015,apartment,862,2,2.0,29.8754,-97.9404
155,509,apartment,700,2,2.0,34.9829,-101.902
156,1400,apartment,1019,2,1.0,33.1951,-96.6642
157,1490,apartment,1323,2,2.0,32.9503,-96.819
158,934,apartment,751,1,1.0,28.809,-96.9993
159,615,apartment,364,0,1.0,35.1653,-101.884
160,850,apartment,645,1,1.0,29.8754,-97.9404
161,700,apartment,746,2,1.0,31.8552,-106.435
162,639,apartment,950,2,2.0,27.5304,-97.8825
163,1084,apartment,718,1,1.0,29.5234,-98.5273
164,775,apartment,584,1,1.0,33.8712,-98.5127
165,875,apartment,1090,2,2.0,32.4366,-99.79
166,475,apartment,545,0,1.0,26.1734,-97.6783
167,975,apartment,713,1,1.0,29.8754,-97.9404
168,1090,apartment,1401,3,2.0,33.8712,-98.5127
169,1244,apartment,1334,3,2.0,30.656,-96.2897
170,1320,apartment,950,2,1.0,30.4224,-97.7967
171,1004,apartment,673,1,0.0,30.4838,-97.6587
172,1003,apartment,561,1,1.0,31.5489,-97.1262
173,1019,apartment,714,1,1.0,29.4189,-98.6895
174,2089,apartment,1263,2,2.0,31.9235,-102.292
175,845,apartment,703,1,1.0,27.7103,-97.4092
176,1050,apartment,1472,3,2.0,29.5042,-98.5697
177,1349,house,2543,5,2.5,30.1413,-97.8496
178,2341,apartment,1056,2,2.0,32.0278,-102.155
179,845,apartment,699,1,1.0,30.14,-94.1604
180,1299,manufactured,1568,4,2.0,32.419000000000004,-95.2106
181,980,apartment,1159,3,2.0,32.3193,-95.3375
182,903,apartment,607,1,1.0,29.8754,-97.9404
183,619,apartment,616,1,1.0,30.6057,-96.3108
184,870,apartment,450,1,1.0,29.8754,-97.9404
185,1330,apartment,805,1,1.0,32.7817,-96.8059
186,900,apartment,483,1,1.0,31.8935,-102.347
187,847,apartment,800,2,1.0,35.2703,-101.943
188,1020,apartment,1040,2,2.0,29.573,-95.1064
189,1117,apartment,802,1,1.0,30.4343,-97.7318
190,795,duplex,900,2,1.0,30.583,-96.2914
191,860,apartment,1040,2,2.5,30.6189,-96.3154
192,1000,manufactured,1216,3,2.0,32.419000000000004,-95.2106
193,609,townhouse,1700,4,4.0,30.5896,-96.3318
194,2095,apartment,1409,3,2.0,32.7392,-97.3852
195,589,apartment,480,0,1.0,30.619,-96.3185
196,2399,apartment,1436,2,2.5,32.8038,-96.7851
197,670,apartment,650,2,1.0,31.7089,-106.329
198,914,apartment,757,1,1.0,29.5298,-95.0334
199,849,apartment,791,1,1.0,30.6045,-96.3123
200,950,apartment,1100,3,3.0,29.8754,-97.9404
201,1556,apartment,1150,3,2.0,29.8754,-97.9404
202,675,apartment,700,2,1.0,31.7089,-106.329
203,639,apartment,756,2,1.0,30.6371,-96.3773
204,619,apartment,900,2,1.0,30.6371,-96.3773
205,615,apartment,522,1,1.0,31.8552,-106.435
206,740,apartment,950,2,1.0,31.1008,-97.7459
207,972,apartment,931,2,1.0,30.0931,-94.1899
208,995,apartment,817,2,1.0,27.6758,-97.3475
209,819,apartment,830,2,1.0,30.6224,-96.3498
210,1233,apartment,961,3,2.0,35.2054,-101.9
211,799,apartment,648,1,1.0,29.5189,-98.6006
212,900,apartment,918,2,1.0,29.2635,-94.8344
213,1440,apartment,956,1,1.0,32.8595,-96.9762
214,1380,apartment,652,1,1.0,32.0295,-102.091
215,1265,house,1112,4,2.0,25.9929,-97.524
216,1125,apartment,879,2,2.0,29.263,-94.8371
217,349,apartment,275,0,1.0,33.5865,-101.861
218,830,apartment,650,1,1.0,29.7286,-95.5392
219,901,apartment,950,2,2.0,32.806999999999995,-96.6713
220,675,apartment,700,2,1.0,31.7089,-106.329
221,990,apartment,583,1,1.0,31.9721,-102.137
222,669,apartment,600,1,1.0,30.619,-96.3185
223,675,apartment,700,2,1.0,31.7089,-106.329
224,975,apartment,820,2,1.0,31.078000000000007,-97.7145
225,610,apartment,925,2,1.0,29.8932,-97.9398
226,880,apartment,958,2,2.0,31.535,-97.1899
227,649,apartment,653,1,1.0,29.5237,-98.505
228,740,apartment,979,3,1.0,35.2779,-101.83
229,1053,apartment,874,1,1.0,30.1876,-97.7472
230,1271,apartment,698,1,1.0,33.0752,-96.7843
231,675,apartment,584,1,1.0,33.8712,-98.5127
232,1760,duplex,1481,2,2.0,32.0124,-102.124
233,769,apartment,992,2,2.0,30.7185,-95.5684
234,799,apartment,300,1,1.0,35.1899,-101.934
235,800,apartment,725,2,1.5,33.9519,-98.5145
236,1650,house,2400,7,4.5,26.271,-98.2604
237,900,apartment,1450,3,2.0,25.8998,-97.5082
238,995,apartment,845,2,1.0,30.3649,-97.6827
239,1395,apartment,698,1,0.0,32.8681,-96.8622
240,950,manufactured,1178,3,2.0,35.2766,-101.82
241,615,apartment,522,1,1.0,31.8552,-106.435
242,1063,apartment,985,2,2.0,29.5612,-98.6117
243,2209,apartment,1260,2,2.0,32.0362,-102.081
244,869,apartment,691,1,1.0,30.0931,-94.1899
245,699,apartment,880,2,2.0,30.6057,-96.3108
246,914,apartment,757,1,1.0,29.5298,-95.0334
247,1206,apartment,899,1,1.0,30.2444,-97.916
248,1785,apartment,833,1,1.0,32.0199,-102.148
249,715,apartment,456,1,1.0,31.6403,-97.0963
250,509,apartment,700,2,2.0,34.9829,-101.902
251,850,house,1350,3,1.0,31.7512,-94.6042
252,800,apartment,900,2,2.0,26.1923,-98.2657
253,750,apartment,725,2,1.5,33.9519,-98.5145
254,1195,house,1600,4,2.0,31.2029,-97.9301
255,1219,apartment,1052,2,2.0,27.5663,-99.4994
256,1209,house,2356,4,2.5,30.0413,-97.8427
257,1500,apartment,1147,2,2.0,30.2063,-97.7956
258,765,apartment,637,1,1.0,27.7103,-97.4092
259,975,apartment,1200,3,2.0,32.2336,-95.2642
260,800,apartment,900,2,2.0,26.1923,-98.2657
261,709,apartment,814,2,1.0,30.7028,-95.542
262,1197,apartment,1051,2,2.0,29.5298,-95.0334
263,1025,apartment,1000,2,2.0,27.6868,-97.3262
264,1299,manufactured,1568,4,2.0,32.419000000000004,-95.2106
265,650,apartment,860,2,1.0,35.1653,-101.884
266,779,apartment,827,2,1.5,30.6045,-96.3123
267,590,house,610,2,2.0,32.5796,-99.6635
268,889,apartment,650,1,1.0,29.8754,-97.9404
269,1145,condo,1120,2,2.0,30.4176,-97.6995
270,1440,apartment,956,1,1.0,32.8595,-96.9762
271,837,apartment,707,1,1.0,32.4001,-99.7691
272,918,apartment,932,2,2.0,29.5244,-98.5801
273,749,apartment,550,1,1.0,30.6045,-96.3123
274,979,apartment,1100,2,2.0,29.5463,-95.088
275,1099,apartment,1100,2,2.0,29.5463,-95.088
276,965,apartment,728,1,1.0,30.2219,-97.7431
277,720,apartment,230,0,1.0,33.5746,-101.944
278,739,apartment,576,1,1.0,30.7035,-95.544
279,615,apartment,364,0,1.0,35.1653,-101.884
280,1030,manufactured,1216,3,2.0,32.2768,-95.3031
281,2069,apartment,1045,2,2.0,32.0295,-102.091
282,815,apartment,502,0,1.0,29.7991,-95.4378
283,610,apartment,925,2,1.0,29.8932,-97.9398
284,850,apartment,474,1,1.0,30.2219,-97.7431
285,950,apartment,900,2,1.5,29.8754,-97.9404
286,1095,apartment,1040,2,2.0,29.8754,-97.9404
287,750,apartment,1100,1,1.0,31.5527,-97.1588
288,730,apartment,687,1,1.0,32.394,-99.779
289,2100,loft,1947,2,2.0,29.7247,-95.3625
290,495,apartment,625,2,1.0,26.1649,-97.9697
291,1235,house,1948,5,2.5,29.3795,-94.9786
292,819,apartment,753,2,1.0,27.677,-97.365
293,772,apartment,800,1,1.0,32.431999999999995,-99.7724
294,1200,condo,640,1,1.0,29.415,-98.4925
295,975,apartment,1004,2,1.0,32.7062,-97.4333
296,675,apartment,584,1,1.0,33.8712,-98.5127
297,1310,apartment,1294,2,2.0,32.2537,-95.3439
298,1667,apartment,748,1,1.0,32.0199,-102.148
299,1400,house,1800,3,2.0,26.2585,-98.2243
300,670,apartment,490,0,1.0,32.2975,-95.2644
301,1400,duplex,1308,3,2.0,29.8819,-97.958
302,1005,apartment,630,1,1.0,31.8932,-102.353
303,615,apartment,364,0,1.0,35.1653,-101.884
304,847,apartment,800,2,1.0,35.2703,-101.943
305,524,apartment,656,1,1.0,33.1345,-95.5922
306,1499,apartment,1145,2,2.0,30.4421,-97.6299
307,409,apartment,1125,4,2.0,34.9829,-101.902
308,780,apartment,1022,2,2.0,33.5478,-101.924
309,1234,apartment,1074,2,2.0,28.8104,-96.9742
310,1245,apartment,400,0,1.0,30.2315,-97.7223
311,686,apartment,550,1,1.0,29.5917,-98.4686
312,749,apartment,759,2,1.0,32.4239,-99.7961
313,675,apartment,650,1,1.0,33.8633,-98.534
314,800,apartment,725,2,1.5,33.9519,-98.5145
315,945,apartment,958,1,1.0,33.8712,-98.5127
316,716,apartment,761,1,1.0,33.8894,-98.5119
317,615,apartment,364,0,1.0,35.1653,-101.884
318,699,apartment,749,1,1.0,33.5434,-101.934
319,895,apartment,916,2,2.0,31.0376,-97.6809
320,770,apartment,1000,2,2.0,33.8894,-98.5119
321,1473,apartment,503,1,1.0,30.3764,-97.7078
322,685,apartment,640,1,1.0,30.0243,-95.4397
323,650,apartment,450,1,1.0,31.1202,-97.8824
324,1302,apartment,914,2,2.0,29.2971,-94.8002
325,865,apartment,960,2,2.0,29.2657,-94.8356
326,995,apartment,890,2,2.0,27.6758,-97.3475
327,905,apartment,703,1,1.0,30.226,-97.7236
328,699,apartment,644,1,1.0,28.8379,-97.0016
329,807,apartment,1100,2,2.0,33.5196,-101.862
330,869,apartment,691,1,1.0,30.0931,-94.1899
331,932,apartment,956,2,2.0,29.5917,-98.4686
332,1045,duplex,1300,3,2.0,32.2691,-95.2933
333,820,apartment,863,2,1.0,29.5334,-98.4975
334,755,apartment,800,1,1.5,31.8383,-106.536
335,2100,condo,1019,2,2.0,30.2617,-97.7728
336,914,apartment,757,1,1.0,29.5298,-95.0334
337,615,apartment,364,0,1.0,35.1653,-101.884
338,750,apartment,486,1,1.0,32.8693,-96.762
339,1150,apartment,750,2,1.5,31.9412,-102.403
340,925,apartment,817,2,1.0,27.6758,-97.3475
341,700,apartment,675,1,1.0,33.8633,-98.534
342,807,apartment,1100,2,2.0,33.5196,-101.862
343,1025,apartment,1073,2,2.0,33.5924,-101.937
344,675,apartment,765,2,1.0,29.9307,-93.8959
345,615,apartment,364,0,1.0,35.1653,-101.884
346,1029,apartment,1025,2,2.0,29.5827,-98.549
347,675,apartment,650,1,1.0,33.9519,-98.5145
348,725,apartment,895,2,1.5,33.5497,-101.919
349,826,apartment,1286,4,2.0,33.6196,-101.81
350,1400,apartment,999,1,1.0,29.7594,-95.3594
351,1350,house,1169,3,2.0,30.5864,-96.3096
352,990,apartment,985,2,2.0,29.5612,-98.6117
353,815,apartment,726,1,1.0,31.8682,-102.394
354,826,apartment,811,2,1.0,29.397,-94.9203
355,1500,condo,900,2,2.5,29.8131,-95.3098
356,745,apartment,1023,3,2.0,33.5469,-101.91
357,1206,apartment,907,1,1.0,30.4521,-97.7688
358,2800,house,1790,3,2.0,32.884,-96.8597
359,850,apartment,924,2,1.0,32.7484,-97.2163
360,950,apartment,806,1,1.0,29.8754,-97.9404
361,699,apartment,880,2,2.0,30.6057,-96.3108
362,800,apartment,725,2,1.5,33.9519,-98.5145
363,779,apartment,766,2,1.0,30.619,-96.3185
364,869,apartment,691,1,1.0,30.0931,-94.1899
365,1127,apartment,900,2,1.0,30.4521,-97.7688
366,809,apartment,794,2,2.0,29.8754,-97.9404
367,1200,apartment,823,1,1.0,29.7024,-95.4274
368,925,apartment,817,2,1.0,27.6758,-97.3475
369,1015,apartment,607,1,1.0,30.4036,-97.7526
370,896,apartment,755,1,1.0,29.8881,-97.9451
371,915,apartment,645,1,1.0,29.8754,-97.9404
372,1225,apartment,1044,2,2.0,31.7346,-95.5332
373,1668,apartment,1216,2,2.0,33.0304,-96.8777
374,615,apartment,364,0,1.0,35.1653,-101.884
375,1395,apartment,1051,2,2.0,33.1951,-96.6642
376,2000,apartment,1532,3,2.0,33.2559,-96.8853
377,1400,apartment,645,1,0.0,32.7392,-97.3852
378,835,apartment,535,1,1.0,30.3764,-97.7078
379,1,apartment,1029,2,0.0,31.7567,-106.354
380,1480,condo,900,2,2.5,29.8131,-95.3098
381,545,apartment,508,1,1.0,33.5497,-101.919
382,700,apartment,750,2,1.0,29.3466,-98.5074
383,649,apartment,756,2,1.0,30.6365,-96.3775
384,655,apartment,840,2,1.0,33.6196,-101.81
385,765,apartment,960,2,1.0,31.9386,-106.407
386,1828,apartment,759,1,1.0,32.0363,-102.081
387,349,apartment,275,0,1.0,33.5865,-101.861
388,950,manufactured,1171,3,2.0,35.2767,-101.82
389,695,apartment,975,2,2.0,26.4481,-98.2842
390,690,apartment,707,1,1.0,35.1913,-101.918
391,975,apartment,736,1,1.0,30.6673,-96.3298
392,1079,apartment,1008,2,2.0,30.0931,-94.1899
393,1105,apartment,1115,3,2.0,29.8754,-97.9404
394,1302,apartment,914,2,2.0,29.2971,-94.8002
395,720,apartment,846,2,1.5,30.6189,-96.3154
396,920,apartment,836,1,1.5,29.6364,-95.2216
397,509,apartment,875,2,2.0,30.6269,-96.3281
398,1279,apartment,1195,2,2.0,28.809,-96.9993
399,1170,apartment,1156,2,2.0,29.2635,-94.8344
400,1425,apartment,888,2,2.0,31.8579,-102.352
401,619,apartment,900,2,1.0,30.6371,-96.3773
402,819,apartment,950,2,1.0,29.8402,-95.3844
403,1248,apartment,712,1,1.0,32.0276,-102.148
404,1236,apartment,640,1,1.0,30.3764,-97.7078
405,995,apartment,890,2,2.0,27.6758,-97.3475
406,1050,house,1400,4,2.0,33.5497,-101.856
407,1010,apartment,744,1,1.0,30.638,-96.294
408,785,apartment,650,1,1.0,33.9675,-98.6868
409,750,apartment,725,2,1.5,33.9519,-98.5145
410,1997,apartment,1494,3,3.0,32.8582,-97.0832
411,1230,apartment,969,2,2.0,29.5791,-98.5938
412,688,apartment,778,2,1.0,31.5789,-106.266
413,399,apartment,854,1,1.0,30.6045,-96.3123
414,689,apartment,950,2,2.0,nan,nan
415,1225,apartment,1044,2,2.0,31.7346,-95.5332
416,950,house,2098,3,2.5,32.4294,-99.8246
417,525,duplex,864,2,1.0,32.4454,-99.7711
418,2179,apartment,1104,2,2.0,32.0199,-102.148
419,1013,apartment,575,1,1.0,30.2063,-97.7956
420,950,apartment,508,0,1.0,30.4036,-97.7526
421,749,apartment,640,1,1.0,30.6224,-96.3498
422,972,apartment,953,2,0.0,29.5389,-98.6525
423,975,apartment,700,1,1.0,32.0196,-102.143
424,730,apartment,750,1,1.0,30.1175,-94.1903
425,1055,apartment,1025,1,1.0,31.8893,-102.349
426,1335,apartment,725,1,1.0,32.7492,-96.8389
427,589,apartment,480,0,1.0,30.6045,-96.3123
428,1090,apartment,1401,3,2.0,33.8712,-98.5127
429,1755,apartment,1382,3,2.0,32.96,-96.8385
430,1370,loft,940,1,1.0,35.2054,-101.828
431,1815,apartment,1293,3,2.0,29.8634,-98.0037
432,700,apartment,670,1,1.0,32.4196,-99.789
433,990,apartment,583,1,1.0,31.9721,-102.137
434,2205,apartment,816,1,1.0,nan,nan
435,720,apartment,670,1,1.0,32.431999999999995,-99.7724
436,1089,apartment,1340,3,2.5,30.7061,-95.5495
437,630,apartment,680,2,1.0,31.8552,-106.435
438,1337,apartment,1013,2,2.0,31.077,-97.3666
439,1200,house,1900,3,2.0,31.541,-100.629
440,2445,apartment,1069,2,2.0,32.0277,-102.158
441,1650,condo,1461,2,2.0,32.0124,-102.124
442,525,apartment,280,0,1.0,33.5704,-101.863
443,1175,house,1580,3,2.0,33.5605,-101.907
444,874,apartment,987,2,2.0,29.3595,-98.4499
445,1129,apartment,586,1,1.0,30.1876,-97.7472
446,1150,apartment,605,1,1.0,30.2296,-97.7625
447,945,apartment,700,1,1.0,31.7346,-95.5332
448,1113,apartment,662,1,1.0,32.0276,-102.148
449,1125,apartment,879,2,2.0,29.263,-94.8371
450,615,apartment,364,0,1.0,35.1653,-101.884
451,1328,apartment,1025,2,2.0,29.6695,-98.6399
452,945,apartment,890,2,2.0,27.6758,-97.3475
453,996,apartment,926,2,2.0,29.5652,-98.4772
454,615,apartment,364,0,1.0,35.1653,-101.884
455,675,apartment,650,1,1.0,33.8633,-98.534
456,799,apartment,300,1,1.0,35.1896,-101.934
457,1383,apartment,702,1,1.0,29.7215,-95.444
